asset,timestamp_utc,close
BTC-USD,2026-04-14 00:00:00+00:00,74260.6171875
BTC-USD,2026-04-14 00:30:00+00:00,74162.0234375
BTC-USD,2026-04-14 01:00:00+00:00,74318.3359375
BTC-USD,2026-04-14 01:30:00+00:00,74378.9921875
BTC-USD,2026-04-14 02:00:00+00:00,74465.40625
BTC-USD,2026-04-14 02:30:00+00:00,74374.3671875
BTC-USD,2026-04-14 03:00:00+00:00,74291.6796875
BTC-USD,2026-04-14 03:30:00+00:00,74454.3828125
BTC-USD,2026-04-14 04:00:00+00:00,74492.0390625
BTC-USD,2026-04-14 04:30:00+00:00,74397.703125
BTC-USD,2026-04-14 05:00:00+00:00,74349.9296875
BTC-USD,2026-04-14 05:30:00+00:00,74209.84375
BTC-USD,2026-04-14 06:00:00+00:00,74446.6015625
BTC-USD,2026-04-14 06:30:00+00:00,74565.7734375
BTC-USD,2026-04-14 07:00:00+00:00,74706.953125
BTC-USD,2026-04-14 07:30:00+00:00,74547.5546875
BTC-USD,2026-04-14 08:00:00+00:00,74614.8515625
BTC-USD,2026-04-14 08:30:00+00:00,74776.1640625
BTC-USD,2026-04-14 09:00:00+00:00,74687.359375
BTC-USD,2026-04-14 09:30:00+00:00,74538.09375
BTC-USD,2026-04-14 10:00:00+00:00,74603.8125
BTC-USD,2026-04-14 10:30:00+00:00,74423.4453125
BTC-USD,2026-04-14 11:00:00+00:00,74420.328125
BTC-USD,2026-04-14 11:30:00+00:00,74456.0
BTC-USD,2026-04-14 12:00:00+00:00,74297.015625
BTC-USD,2026-04-14 12:30:00+00:00,74457.5859375
BTC-USD,2026-04-14 13:00:00+00:00,74647.9921875
BTC-USD,2026-04-14 13:30:00+00:00,75490.3984375
BTC-USD,2026-04-14 14:00:00+00:00,75855.0078125
BTC-USD,2026-04-14 14:30:00+00:00,75180.125
BTC-USD,2026-04-14 15:00:00+00:00,74896.3125
BTC-USD,2026-04-14 15:30:00+00:00,75407.8125
BTC-USD,2026-04-14 16:00:00+00:00,75287.78125
BTC-USD,2026-04-14 16:30:00+00:00,74566.21875
BTC-USD,2026-04-14 17:00:00+00:00,74751.7890625
BTC-USD,2026-04-14 17:30:00+00:00,74766.5
BTC-USD,2026-04-14 18:00:00+00:00,74593.9921875
BTC-USD,2026-04-14 18:30:00+00:00,74097.0625
BTC-USD,2026-04-14 19:00:00+00:00,74113.4140625
BTC-USD,2026-04-14 19:30:00+00:00,74265.8984375
BTC-USD,2026-04-14 20:00:00+00:00,74211.2421875
